Cluster,Gender,Annual Income,Price ($),Company,Model,Transmission,Color,Body Style
0,Male,13.5,26.0,Ford,Expedition,Auto,Black,SUV
2,Male,1480.0,19.0,Dodge,Durango,Auto,Black,SUV
0,Male,1035.0,31.5,Cadillac,Eldorado,Manual,Red,Passenger
0,Male,13.5,14.0,Toyota,Celica,Manual,Pale White,SUV
2,Male,1465.0,24.5,Acura,TL,Auto,Red,Hatchback
0,Male,850.0,12.0,Mitsubishi,Diamante,Manual,Pale White,Hatchback
2,Male,1600.0,14.0,Toyota,Corolla,Manual,Pale White,Passenger
1,Male,13.5,42.0,Mitsubishi,Galant,Auto,Pale White,Passenger
1,Male,815.0,82.0,Chevrolet,Malibu,Manual,Pale White,Hardtop
0,Female,13.5,15.0,Ford,Escort,Auto,Pale White,Passenger
0,Male,13.5,31.0,Acura,RL,Manual,Pale White,SUV
1,Male,13.5,46.0,Nissan,Pathfinder,Auto,Pale White,Hardtop
0,Male,885.0,9.0,Mercury,Grand Marquis,Auto,Black,SUV
0,Male,13.5,15.0,BMW,323i,Auto,Pale White,Hatchback
0,Male,722.0,26.0,Chrysler,Sebring Coupe,Manual,Pale White,Sedan
0,Male,746.0,17.0,Subaru,Forester,Manual,Pale White,Hatchback
0,Female,535.0,18.0,Hyundai,Accent,Manual,Black,Hatchback
0,Female,570.0,31.0,Cadillac,Eldorado,Auto,Pale White,Passenger
0,Male,685.0,33.0,Toyota,Land Cruiser,Auto,Pale White,SUV
0,Male,455.0,21.0,Honda,Accord,Auto,Pale White,Sedan
0,Male,13.5,25.0,Toyota,4Runner,Manual,Black,Sedan
2,Male,2500.0,21.0,Infiniti,I30,Auto,Black,Hardtop
0,Male,585.0,12.0,Audi,A4,Manual,Pale White,Hardtop
0,Male,920.0,18.0,Porsche,Carrera Cabrio,Auto,Pale White,Passenger
0,Male,672.0,22.0,Volkswagen,Jetta,Auto,Pale White,Passenger
0,Male,801.25,31.25,Dodge,Viper,Auto,Pale White,SUV
0,Female,820.0,19.0,Buick,Regal,Auto,Black,Passenger
1,Male,791.0,41.0,Chrysler,LHS,Manual,Pale White,Hatchback
1,Male,13.5,41.0,Chrysler,LHS,Manual,Pale White,Hatchback
0,Male,1020.0,13.0,Saturn,LW,Manual,Pale White,Hatchback
0,Male,210.0,20.0,Mitsubishi,3000GT,Manual,Pale White,Sedan
0,Male,750.0,14.0,Mercedes-B,SLK230,Manual,Pale White,Hatchback
0,Male,635.0,19.0,Honda,Accord,Auto,Pale White,Sedan
1,Male,675.0,43.0,Honda,Civic,Manual,Black,Hatchback
0,Male,880.0,16.0,Jaguar,S-Type,Auto,Black,Passenger
1,Male,13.5,42.0,Volvo,S40,Auto,Pale White,Sedan
0,Male,13.5,21.0,Mercury,Mountaineer,Auto,Pale White,SUV
1,Male,13.5,61.0,Buick,Park Avenue,Auto,Black,Hatchback
1,Male,941.0,39.0,Mitsubishi,Montero Sport,Auto,Pale White,SUV
0,Female,13.5,16.0,Nissan,Sentra,Auto,Black,Passenger
0,Male,13.5,26.0,Chrysler,Sebring Coupe,Manual,Pale White,Sedan
0,Female,13.5,21.0,Volvo,S80,Manual,Pale White,Sedan
1,Male,967.5,42.5,Chevrolet,Lumina,Manual,Black,Passenger
1,Male,600.0,45.001,Mitsubishi,Montero Sport,Auto,Black,Hatchback
0,Male,575.0,36.001,Pontiac,Bonneville,Manual,Black,Hatchback
0,Male,566.0,12.0,Mercedes-B,C-Class,Manual,Pale White,Hatchback
2,Male,1250.0,21.001,BMW,323i,Manual,Pale White,Hatchback
0,Male,730.0,29.0,Acura,TL,Auto,Pale White,Hatchback
2,Male,4060.0,20.0,Nissan,Altima,Auto,Pale White,Hatchback
0,Male,13.5,22.0,Cadillac,DeVille,Auto,Pale White,SUV
2,Male,1180.0,31.0,Dodge,Stratus,Auto,Pale White,Hatchback
2,Male,1360.0,27.0,Audi,A4,Auto,Black,Hardtop
0,Female,640.0,33.0,Mercury,Cougar,Auto,Black,Hatchback
